prompt_id,persona,category,intent_type,prompt_text,expected_visibility_score,notes,topic_cluster_id,cluster_role,cluster_topic,fanout_angle
tc_1775839502278_2693,Adult Child Caregiver (50+),educational,informational,What should I know about Hospital discharge planning as adult child of aging parent,5.0,Topic cluster: Hospital discharge planning | Parent,tc_adult_child_50plus_Hospital_discharge_planning_1775839502,parent,Hospital discharge planning,
tc_1775839502278_2107,Adult Child Caregiver (50+),business,commercial,companies that offer Hospital discharge planning,5.0,Topic cluster: Hospital discharge planning | Fan-out (specific_services),tc_adult_child_50plus_Hospital_discharge_planning_1775839502,fanout,Hospital discharge planning,specific_services
tc_1775839502278_2700,Adult Child Caregiver (50+),educational,informational,community forums for Hospital discharge planning,5.0,Topic cluster: Hospital discharge planning | Fan-out (emotional_support),tc_adult_child_50plus_Hospital_discharge_planning_1775839502,fanout,Hospital discharge planning,emotional_support
tc_1775839502278_9854,Adult Child Caregiver (50+),educational,informational,Hospital discharge planning providers near me,5.0,Topic cluster: Hospital discharge planning | Fan-out (geographic),tc_adult_child_50plus_Hospital_discharge_planning_1775839502,fanout,Hospital discharge planning,geographic
tc_1775839502278_6368,Adult Child Caregiver (50+),educational,informational,requirements for Hospital discharge planning,5.0,Topic cluster: Hospital discharge planning | Fan-out (eligibility_access),tc_adult_child_50plus_Hospital_discharge_planning_1775839502,fanout,Hospital discharge planning,eligibility_access
tc_1775839502278_8780,Adult Child Caregiver (50+),educational,informational,checklist for Hospital discharge planning,5.0,Topic cluster: Hospital discharge planning | Fan-out (how_to_practical),tc_adult_child_50plus_Hospital_discharge_planning_1775839502,fanout,Hospital discharge planning,how_to_practical
tc_1775839502278_8341,Adult Child Caregiver (Under 50),educational,informational,What's the best approach to Hospital discharge planning,5.0,Topic cluster: Hospital discharge planning | Parent,tc_adult_child_under50_Hospital_discharge_planning_1775839502,parent,Hospital discharge planning,
tc_1775839502278_6465,Adult Child Caregiver (Under 50),educational,informational,how to access Hospital discharge planning,5.0,Topic cluster: Hospital discharge planning | Fan-out (eligibility_access),tc_adult_child_under50_Hospital_discharge_planning_1775839502,fanout,Hospital discharge planning,eligibility_access
tc_1775839502278_5403,Adult Child Caregiver (Under 50),educational,informational,advice from people experienced with Hospital discharge planning,5.0,Topic cluster: Hospital discharge planning | Fan-out (emotional_support),tc_adult_child_under50_Hospital_discharge_planning_1775839502,fanout,Hospital discharge planning,emotional_support
tc_1775839502278_2309,Adult Child Caregiver (Under 50),educational,informational,Hospital discharge planning providers near me,5.0,Topic cluster: Hospital discharge planning | Fan-out (geographic),tc_adult_child_under50_Hospital_discharge_planning_1775839502,fanout,Hospital discharge planning,geographic
tc_1775839502278_8680,Adult Child Caregiver (Under 50),business,commercial,companies that offer Hospital discharge planning,5.0,Topic cluster: Hospital discharge planning | Fan-out (specific_services),tc_adult_child_under50_Hospital_discharge_planning_1775839502,fanout,Hospital discharge planning,specific_services
tc_1775839502278_8069,Adult Child Caregiver (Under 50),educational,informational,checklist for Hospital discharge planning,5.0,Topic cluster: Hospital discharge planning | Fan-out (how_to_practical),tc_adult_child_under50_Hospital_discharge_planning_1775839502,fanout,Hospital discharge planning,how_to_practical
tc_1775839502278_9336,Adult Child Caregiver (50+),educational,informational,What should I know about Caregiver burnout and stress as adult child of aging parent,5.0,Topic cluster: Caregiver burnout and stress | Parent,tc_adult_child_50plus_Caregiver_burnout_and_stress_1775839502,parent,Caregiver burnout and stress,
tc_1775839502278_6637,Adult Child Caregiver (50+),educational,informational,local Caregiver burnout and stress options by region,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (geographic),tc_adult_child_50plus_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,geographic
tc_1775839502278_3227,Adult Child Caregiver (50+),educational,informational,community forums for Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (emotional_support),tc_adult_child_50plus_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,emotional_support
tc_1775839502278_8281,Adult Child Caregiver (50+),educational,informational,step by step guide for Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (how_to_practical),tc_adult_child_50plus_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,how_to_practical
tc_1775839502278_9813,Adult Child Caregiver (50+),educational,informational,how to access Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (eligibility_access),tc_adult_child_50plus_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,eligibility_access
tc_1775839502278_9201,Adult Child Caregiver (50+),business,commercial,Caregiver burnout and stress services and solutions,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (specific_services),tc_adult_child_50plus_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,specific_services
tc_1775839502278_5077,Adult Child Caregiver (Under 50),educational,informational,What's the best approach to Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Parent,tc_adult_child_under50_Caregiver_burnout_and_stress_1775839502,parent,Caregiver burnout and stress,
tc_1775839502278_2708,Adult Child Caregiver (Under 50),educational,informational,who qualifies for Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (eligibility_access),tc_adult_child_under50_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,eligibility_access
tc_1775839502278_8306,Adult Child Caregiver (Under 50),educational,informational,checklist for Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (how_to_practical),tc_adult_child_under50_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,how_to_practical
tc_1775839502278_7068,Adult Child Caregiver (Under 50),educational,informational,common challenges with Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (emotional_support),tc_adult_child_under50_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,emotional_support
tc_1775839502278_3632,Adult Child Caregiver (Under 50),educational,informational,Caregiver burnout and stress providers near me,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (geographic),tc_adult_child_under50_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,geographic
tc_1775839502278_4076,Adult Child Caregiver (Under 50),business,commercial,best providers for Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (specific_services),tc_adult_child_under50_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,specific_services
tc_1775839502278_4068,Spousal Caregiver,educational,informational,What's the best approach to Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Parent,tc_spousal_caregiver_Caregiver_burnout_and_stress_1775839502,parent,Caregiver burnout and stress,
tc_1775839502278_3053,Spousal Caregiver,educational,informational,advice from people experienced with Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (emotional_support),tc_spousal_caregiver_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,emotional_support
tc_1775839502278_5087,Spousal Caregiver,educational,informational,checklist for Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (how_to_practical),tc_spousal_caregiver_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,how_to_practical
tc_1775839502278_9032,Spousal Caregiver,business,commercial,Caregiver burnout and stress services and solutions,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (specific_services),tc_spousal_caregiver_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,specific_services
tc_1775839502278_3050,Spousal Caregiver,educational,informational,requirements for Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (eligibility_access),tc_spousal_caregiver_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,eligibility_access
tc_1775839502278_3494,Spousal Caregiver,educational,informational,Caregiver burnout and stress options in Canada,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (geographic),tc_spousal_caregiver_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,geographic
tc_1775839502278_6710,Mental Health Caregiver,educational,informational,What should I know about Caregiver burnout and stress as mental health caregiver,5.0,Topic cluster: Caregiver burnout and stress | Parent,tc_mental_health_caregiver_Caregiver_burnout_and_stress_1775839502,parent,Caregiver burnout and stress,
tc_1775839502278_2330,Mental Health Caregiver,educational,informational,checklist for Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (how_to_practical),tc_mental_health_caregiver_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,how_to_practical
tc_1775839502278_9620,Mental Health Caregiver,educational,informational,common challenges with Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (emotional_support),tc_mental_health_caregiver_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,emotional_support
tc_1775839502278_4313,Mental Health Caregiver,business,commercial,best providers for Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (specific_services),tc_mental_health_caregiver_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,specific_services
tc_1775839502278_9491,Mental Health Caregiver,educational,informational,who qualifies for Caregiver burnout and stress,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (eligibility_access),tc_mental_health_caregiver_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,eligibility_access
tc_1775839502278_8422,Mental Health Caregiver,educational,informational,Caregiver burnout and stress options in Canada,5.0,Topic cluster: Caregiver burnout and stress | Fan-out (geographic),tc_mental_health_caregiver_Caregiver_burnout_and_stress_1775839502,fanout,Caregiver burnout and stress,geographic
tc_1775839502278_7547,Adult Child Caregiver (50+),educational,informational,I need help with Respite care options — where do I start,5.0,Topic cluster: Respite care options | Parent,tc_adult_child_50plus_Respite_care_options_1775839502,parent,Respite care options,
tc_1775839502278_7101,Adult Child Caregiver (50+),educational,informational,how to access Respite care options,5.0,Topic cluster: Respite care options | Fan-out (eligibility_access),tc_adult_child_50plus_Respite_care_options_1775839502,fanout,Respite care options,eligibility_access
tc_1775839502278_2916,Adult Child Caregiver (50+),educational,informational,checklist for Respite care options,5.0,Topic cluster: Respite care options | Fan-out (how_to_practical),tc_adult_child_50plus_Respite_care_options_1775839502,fanout,Respite care options,how_to_practical
tc_1775839502278_4551,Adult Child Caregiver (50+),business,commercial,best providers for Respite care options,5.0,Topic cluster: Respite care options | Fan-out (specific_services),tc_adult_child_50plus_Respite_care_options_1775839502,fanout,Respite care options,specific_services
tc_1775839502278_3062,Adult Child Caregiver (50+),educational,informational,community forums for Respite care options,5.0,Topic cluster: Respite care options | Fan-out (emotional_support),tc_adult_child_50plus_Respite_care_options_1775839502,fanout,Respite care options,emotional_support
tc_1775839502278_7800,Adult Child Caregiver (50+),educational,informational,Respite care options providers near me,5.0,Topic cluster: Respite care options | Fan-out (geographic),tc_adult_child_50plus_Respite_care_options_1775839502,fanout,Respite care options,geographic
tc_1775839502278_1382,Spousal Caregiver,educational,informational,What's the best approach to Respite care options,5.0,Topic cluster: Respite care options | Parent,tc_spousal_caregiver_Respite_care_options_1775839502,parent,Respite care options,
tc_1775839502278_7971,Spousal Caregiver,business,commercial,companies that offer Respite care options,5.0,Topic cluster: Respite care options | Fan-out (specific_services),tc_spousal_caregiver_Respite_care_options_1775839502,fanout,Respite care options,specific_services
tc_1775839502278_6515,Spousal Caregiver,educational,informational,how to access Respite care options,5.0,Topic cluster: Respite care options | Fan-out (eligibility_access),tc_spousal_caregiver_Respite_care_options_1775839502,fanout,Respite care options,eligibility_access
tc_1775839502278_3718,Spousal Caregiver,educational,informational,local Respite care options options by region,5.0,Topic cluster: Respite care options | Fan-out (geographic),tc_spousal_caregiver_Respite_care_options_1775839502,fanout,Respite care options,geographic
tc_1775839502278_3860,Spousal Caregiver,educational,informational,community forums for Respite care options,5.0,Topic cluster: Respite care options | Fan-out (emotional_support),tc_spousal_caregiver_Respite_care_options_1775839502,fanout,Respite care options,emotional_support
tc_1775839502278_6965,Spousal Caregiver,educational,informational,step by step guide for Respite care options,5.0,Topic cluster: Respite care options | Fan-out (how_to_practical),tc_spousal_caregiver_Respite_care_options_1775839502,fanout,Respite care options,how_to_practical
tc_1775839502278_4916,Parent of Child w/ Complex Needs,educational,informational,I need help with Respite care options — where do I start,5.0,Topic cluster: Respite care options | Parent,tc_parent_complex_needs_Respite_care_options_1775839502,parent,Respite care options,
tc_1775839502278_6427,Parent of Child w/ Complex Needs,educational,informational,checklist for Respite care options,5.0,Topic cluster: Respite care options | Fan-out (how_to_practical),tc_parent_complex_needs_Respite_care_options_1775839502,fanout,Respite care options,how_to_practical
tc_1775839502278_1710,Parent of Child w/ Complex Needs,educational,informational,community forums for Respite care options,5.0,Topic cluster: Respite care options | Fan-out (emotional_support),tc_parent_complex_needs_Respite_care_options_1775839502,fanout,Respite care options,emotional_support
tc_1775839502278_8135,Parent of Child w/ Complex Needs,educational,informational,local Respite care options options by region,5.0,Topic cluster: Respite care options | Fan-out (geographic),tc_parent_complex_needs_Respite_care_options_1775839502,fanout,Respite care options,geographic
tc_1775839502278_7567,Parent of Child w/ Complex Needs,educational,informational,requirements for Respite care options,5.0,Topic cluster: Respite care options | Fan-out (eligibility_access),tc_parent_complex_needs_Respite_care_options_1775839502,fanout,Respite care options,eligibility_access
tc_1775839502278_6166,Parent of Child w/ Complex Needs,business,commercial,best providers for Respite care options,5.0,Topic cluster: Respite care options | Fan-out (specific_services),tc_parent_complex_needs_Respite_care_options_1775839502,fanout,Respite care options,specific_services
tc_1775839502278_3819,Adult Child Caregiver (50+),educational,informational,I'm looking for information about Caring for aging parents,5.0,Topic cluster: Caring for aging parents | Parent,tc_adult_child_50plus_Caring_for_aging_parents_1775839502,parent,Caring for aging parents,
tc_1775839502278_1195,Adult Child Caregiver (50+),business,commercial,companies that offer Caring for aging parents,5.0,Topic cluster: Caring for aging parents | Fan-out (specific_services),tc_adult_child_50plus_Caring_for_aging_parents_1775839502,fanout,Caring for aging parents,specific_services
tc_1775839502278_9250,Adult Child Caregiver (50+),educational,informational,advice from people experienced with Caring for aging parents,5.0,Topic cluster: Caring for aging parents | Fan-out (emotional_support),tc_adult_child_50plus_Caring_for_aging_parents_1775839502,fanout,Caring for aging parents,emotional_support
tc_1775839502278_1688,Adult Child Caregiver (50+),educational,informational,step by step guide for Caring for aging parents,5.0,Topic cluster: Caring for aging parents | Fan-out (how_to_practical),tc_adult_child_50plus_Caring_for_aging_parents_1775839502,fanout,Caring for aging parents,how_to_practical
tc_1775839502278_4488,Adult Child Caregiver (50+),educational,informational,who qualifies for Caring for aging parents,5.0,Topic cluster: Caring for aging parents | Fan-out (eligibility_access),tc_adult_child_50plus_Caring_for_aging_parents_1775839502,fanout,Caring for aging parents,eligibility_access
tc_1775839502278_1301,Adult Child Caregiver (50+),educational,informational,Caring for aging parents providers near me,5.0,Topic cluster: Caring for aging parents | Fan-out (geographic),tc_adult_child_50plus_Caring_for_aging_parents_1775839502,fanout,Caring for aging parents,geographic
tc_1775839502278_7269,Adult Child Caregiver (Under 50),educational,informational,I'm looking for information about Caring for aging parents,5.0,Topic cluster: Caring for aging parents | Parent,tc_adult_child_under50_Caring_for_aging_parents_1775839502,parent,Caring for aging parents,
tc_1775839502278_5619,Adult Child Caregiver (Under 50),business,commercial,Caring for aging parents services and solutions,5.0,Topic cluster: Caring for aging parents | Fan-out (specific_services),tc_adult_child_under50_Caring_for_aging_parents_1775839502,fanout,Caring for aging parents,specific_services
tc_1775839502278_8584,Adult Child Caregiver (Under 50),educational,informational,community forums for Caring for aging parents,5.0,Topic cluster: Caring for aging parents | Fan-out (emotional_support),tc_adult_child_under50_Caring_for_aging_parents_1775839502,fanout,Caring for aging parents,emotional_support
tc_1775839502278_8197,Adult Child Caregiver (Under 50),educational,informational,who qualifies for Caring for aging parents,5.0,Topic cluster: Caring for aging parents | Fan-out (eligibility_access),tc_adult_child_under50_Caring_for_aging_parents_1775839502,fanout,Caring for aging parents,eligibility_access
tc_1775839502278_1831,Adult Child Caregiver (Under 50),educational,informational,step by step guide for Caring for aging parents,5.0,Topic cluster: Caring for aging parents | Fan-out (how_to_practical),tc_adult_child_under50_Caring_for_aging_parents_1775839502,fanout,Caring for aging parents,how_to_practical
tc_1775839502278_2471,Adult Child Caregiver (Under 50),educational,informational,Caring for aging parents providers near me,5.0,Topic cluster: Caring for aging parents | Fan-out (geographic),tc_adult_child_under50_Caring_for_aging_parents_1775839502,fanout,Caring for aging parents,geographic
tc_1775839502278_9544,Adult Child Caregiver (Under 50),educational,informational,I need help with Peer support and support groups — where do I start,5.0,Topic cluster: Peer support and support groups | Parent,tc_adult_child_under50_Peer_support_and_support_group_1775839502,parent,Peer support and support groups,
tc_1775839502278_9165,Adult Child Caregiver (Under 50),business,commercial,companies that offer Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (specific_services),tc_adult_child_under50_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,specific_services
tc_1775839502278_8209,Adult Child Caregiver (Under 50),educational,informational,step by step guide for Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (how_to_practical),tc_adult_child_under50_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,how_to_practical
tc_1775839502278_9344,Adult Child Caregiver (Under 50),educational,informational,Peer support and support groups options in Canada,5.0,Topic cluster: Peer support and support groups | Fan-out (geographic),tc_adult_child_under50_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,geographic
tc_1775839502278_8385,Adult Child Caregiver (Under 50),educational,informational,advice from people experienced with Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (emotional_support),tc_adult_child_under50_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,emotional_support
tc_1775839502278_5209,Adult Child Caregiver (Under 50),educational,informational,how to access Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (eligibility_access),tc_adult_child_under50_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,eligibility_access
tc_1775839502278_7700,Spousal Caregiver,educational,informational,What's the best approach to Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Parent,tc_spousal_caregiver_Peer_support_and_support_group_1775839502,parent,Peer support and support groups,
tc_1775839502278_8239,Spousal Caregiver,educational,informational,requirements for Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (eligibility_access),tc_spousal_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,eligibility_access
tc_1775839502278_3577,Spousal Caregiver,educational,informational,step by step guide for Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (how_to_practical),tc_spousal_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,how_to_practical
tc_1775839502278_3762,Spousal Caregiver,business,commercial,Peer support and support groups services and solutions,5.0,Topic cluster: Peer support and support groups | Fan-out (specific_services),tc_spousal_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,specific_services
tc_1775839502278_6903,Spousal Caregiver,educational,informational,Peer support and support groups options in Canada,5.0,Topic cluster: Peer support and support groups | Fan-out (geographic),tc_spousal_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,geographic
tc_1775839502278_4762,Spousal Caregiver,educational,informational,advice from people experienced with Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (emotional_support),tc_spousal_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,emotional_support
tc_1775839502278_4121,Mental Health Caregiver,educational,informational,What's the best approach to Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Parent,tc_mental_health_caregiver_Peer_support_and_support_group_1775839502,parent,Peer support and support groups,
tc_1775839502278_7720,Mental Health Caregiver,educational,informational,step by step guide for Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (how_to_practical),tc_mental_health_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,how_to_practical
tc_1775839502278_1255,Mental Health Caregiver,educational,informational,Peer support and support groups providers near me,5.0,Topic cluster: Peer support and support groups | Fan-out (geographic),tc_mental_health_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,geographic
tc_1775839502278_9910,Mental Health Caregiver,business,commercial,companies that offer Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (specific_services),tc_mental_health_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,specific_services
tc_1775839502278_2917,Mental Health Caregiver,educational,informational,who qualifies for Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (eligibility_access),tc_mental_health_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,eligibility_access
tc_1775839502278_8928,Mental Health Caregiver,educational,informational,common challenges with Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (emotional_support),tc_mental_health_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,emotional_support
tc_1775839502278_2887,Young Caregiver (Under 26),educational,informational,Can you help me understand Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Parent,tc_young_caregiver_Peer_support_and_support_group_1775839502,parent,Peer support and support groups,
tc_1775839502278_2789,Young Caregiver (Under 26),educational,informational,how to get started with Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (how_to_practical),tc_young_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,how_to_practical
tc_1775839502278_4244,Young Caregiver (Under 26),business,commercial,best providers for Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (specific_services),tc_young_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,specific_services
tc_1775839502278_3508,Young Caregiver (Under 26),educational,informational,Peer support and support groups options in Canada,5.0,Topic cluster: Peer support and support groups | Fan-out (geographic),tc_young_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,geographic
tc_1775839502278_8777,Young Caregiver (Under 26),educational,informational,advice from people experienced with Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (emotional_support),tc_young_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,emotional_support
tc_1775839502278_9762,Young Caregiver (Under 26),educational,informational,who qualifies for Peer support and support groups,5.0,Topic cluster: Peer support and support groups | Fan-out (eligibility_access),tc_young_caregiver_Peer_support_and_support_group_1775839502,fanout,Peer support and support groups,eligibility_access
tc_1775839502278_2107,Mental Health Caregiver,educational,informational,I'm looking for information about Supporting someone with mental illness,5.0,Topic cluster: Supporting someone with mental illness | Parent,tc_mental_health_caregiver_Supporting_someone_with_mental_1775839502,parent,Supporting someone with mental illness,
tc_1775839502278_1902,Mental Health Caregiver,educational,informational,advice from people experienced with Supporting someone with mental illness,5.0,Topic cluster: Supporting someone with mental illness | Fan-out (emotional_support),tc_mental_health_caregiver_Supporting_someone_with_mental_1775839502,fanout,Supporting someone with mental illness,emotional_support
