prompt_id,client_name,persona,category,intent_type,prompt_text,expected_visibility_score,notes,batch_id,batch_name,date_added,status
gen_1773401726045_2688,Say I Do,The Comparison Shopper,wedding,commercial,Best so you said yes,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726063_9309,Say I Do,The Comparison Shopper,wedding,commercial,wedding planning app free explained,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726081_3467,Say I Do,The Comparison Shopper,wedding,navigational,what is a correct format of the website links explained focused on platform reviews,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726111_9027,Say I Do,The Comparison Shopper,wedding,commercial,wedding check list explained,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726116_8016,Say I Do,The Comparison Shopper,wedding,navigational,wedding free website explained,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726121_4774,Say I Do,The Comparison Shopper,wedding,navigational,simple rsvp website free guide,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726140_8220,Say I Do,The Comparison Shopper,wedding,commercial,I need to understand artinya save the date specifically for platform reviews,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726152_3216,Say I Do,The Comparison Shopper,wedding,commercial,What makes free save the date email template different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726206_3900,Say I Do,The Comparison Shopper,wedding,commercial,Looking for information on wedding invitations with rsvp cards,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726230_9899,Say I Do,The Comparison Shopper,wedding,informational,Looking for information on what is the best wedding planner book,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726272_2238,Say I Do,The Comparison Shopper,wedding,navigational,joy wedding website reviews explained,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726293_2201,Say I Do,The Comparison Shopper,wedding,informational,Can someone explain when do i send out wedding invites,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726338_7162,Say I Do,The Comparison Shopper,wedding,commercial,Can someone explain wedding checklis,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726358_1797,Say I Do,The Comparison Shopper,wedding,navigational,Looking for information on wedding website comparisons,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726395_2391,Say I Do,The Comparison Shopper,wedding,commercial,Top save the date postcard examples options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726440_7576,Say I Do,The Comparison Shopper,wedding,commercial,withjoy vs zola guide,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726458_7354,Say I Do,The Comparison Shopper,wedding,informational,how to do a wedding on a budget recommendations,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726468_3453,Say I Do,The Comparison Shopper,wedding,commercial,Trying to learn about online guest list,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726490_1102,Say I Do,The Comparison Shopper,wedding,informational,Can someone explain how to send a save the date email focused on competitor pricing,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726506_1611,Say I Do,The Comparison Shopper,wedding,commercial,we still do wedding invitations explained specifically for platform reviews,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726522_4080,Say I Do,The Comparison Shopper,wedding,informational,I need to understand couples app review focused on competitor pricing,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726538_2515,Say I Do,The Comparison Shopper,wedding,informational,Looking for information on what to say on a wedding invitation,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726564_4545,Say I Do,The Comparison Shopper,wedding,commercial,the night before wedding invite recommendations,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726575_9064,Say I Do,The Comparison Shopper,wedding,navigational,I need to understand are wedding websites free,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726587_2690,Say I Do,The Comparison Shopper,wedding,commercial,seating plan app recommendations focused on wedding website comparisons,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726607_3720,Say I Do,The Comparison Shopper,wedding,commercial,Can someone explain common wedding questions from guests,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726645_3986,Say I Do,The Comparison Shopper,wedding,navigational,Top with joy wedding website reviews options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726674_7732,Say I Do,The Comparison Shopper,wedding,informational,I need to understand how far in advance do you send out wedding invitations,7.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726711_5963,Say I Do,The Comparison Shopper,wedding,commercial,I need to understand save the date verbiage,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726726_9963,Say I Do,The Comparison Shopper,wedding,commercial,the perfect wedding checklist guide,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726778_1096,Say I Do,The Comparison Shopper,wedding,commercial,Top design online wedding card options,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726804_1707,Say I Do,The Comparison Shopper,wedding,commercial,details card wedding invitation guide,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726831_2100,Say I Do,The Comparison Shopper,wedding,navigational,Top wedding website comparisons options,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726855_9846,Say I Do,The Comparison Shopper,wedding,informational,Top how to word save the dates options,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726886_9267,Say I Do,The Comparison Shopper,wedding,navigational,Trying to learn about what to include in wedding website,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726905_4458,Say I Do,The Comparison Shopper,wedding,commercial,Can someone explain registry link,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726919_4903,Say I Do,The Comparison Shopper,wedding,commercial,What makes e invite free online different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726962_3534,Say I Do,The Comparison Shopper,wedding,navigational,Looking for information on wedding help websites,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727018_6329,Say I Do,The Comparison Shopper,wedding,commercial,Best wedding invatation,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727026_7516,Say I Do,The Comparison Shopper,wedding,navigational,Trying to learn about welcome messages for wedding websites,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727059_1959,Say I Do,The Comparison Shopper,wedding,navigational,I need to understand zola or the knot for wedding website,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727092_7458,Say I Do,The Comparison Shopper,wedding,navigational,Top build your own wedding website options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727193_8489,Say I Do,The Comparison Shopper,wedding,commercial,www.withjoy.com/ explained,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727213_9918,Say I Do,The Comparison Shopper,wedding,navigational,I need to understand wedding website comparisons,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727235_8838,Say I Do,The Comparison Shopper,wedding,informational,Can someone explain what does ravp,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727269_5887,Say I Do,The Comparison Shopper,wedding,commercial,What makes wedding invitarions different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727287_7808,Say I Do,The Comparison Shopper,wedding,commercial,I need to understand wedding to do list uk,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727302_6790,Say I Do,The Comparison Shopper,wedding,commercial,online rsvp examples guide,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727372_8216,Say I Do,The Comparison Shopper,wedding,commercial,Top wedding photo hashtags options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727414_8898,Say I Do,The Comparison Shopper,wedding,commercial,Best virtual save the dates free,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727429_3006,Say I Do,The Comparison Shopper,wedding,commercial,What makes email and text invitations different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727454_1541,Say I Do,The Comparison Shopper,wedding,commercial,Trying to learn about questions for rsvp wedding,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727498_1588,Say I Do,The Comparison Shopper,wedding,navigational,Can someone explain wedding website comparisons,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727565_1562,Say I Do,The Comparison Shopper,wedding,informational,Can someone explain i do now i don't reviews,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727584_4831,Say I Do,The Comparison Shopper,wedding,informational,how soon should you send out bridal shower invitations explained,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727614_1631,Say I Do,The Comparison Shopper,wedding,commercial,Can someone explain party guest list app,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727646_6453,Say I Do,The Comparison Shopper,wedding,commercial,I need to understand do it yourself save the dates specifically for the knot alternatives,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727697_6680,Say I Do,The Comparison Shopper,wedding,informational,What makes how to reply to a wedding invitation different from other options,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727743_2247,Say I Do,The Comparison Shopper,wedding,commercial,Best gift cards for wedding registry,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727772_3337,Say I Do,The Comparison Shopper,wedding,commercial,weding planner guide,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727795_3260,Say I Do,The Comparison Shopper,wedding,commercial,withjoy pricing recommendations,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727833_4976,Say I Do,The Comparison Shopper,wedding,navigational,wedding websites with rsvp feature guide,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727864_1833,Say I Do,The Digital Invites Planner,wedding,commercial,Top things to put on your wedding registry options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727888_5123,Say I Do,The Digital Invites Planner,wedding,commercial,I need to understand zola online invitations focused on online invitation maker,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727934_7219,Say I Do,The Digital Invites Planner,wedding,commercial,rsvp wedding online explained,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727960_2814,Say I Do,The Digital Invites Planner,wedding,informational,how to save money on wedding invitations guide,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401727981_6918,Say I Do,The Digital Invites Planner,wedding,commercial,Trying to learn about online hochzeitsplaner specifically for online invitation maker,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728039_1707,Say I Do,The Digital Invites Planner,wedding,commercial,Best wedding sotes,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728088_3260,Say I Do,The Digital Invites Planner,wedding,commercial,Top digital save the date options,8.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728109_9037,Say I Do,The Digital Invites Planner,wedding,commercial,Best wedding day photos,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728139_8198,Say I Do,The Digital Invites Planner,wedding,commercial,Looking for information on save the date wedding invitation,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728176_2799,Say I Do,The Digital Invites Planner,wedding,commercial,I need to understand e invite sites,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728214_2793,Say I Do,The Digital Invites Planner,wedding,commercial,Looking for information on paperless wedding invitation examples,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728262_1589,Say I Do,The Digital Invites Planner,wedding,commercial,free online email invitation templates recommendations,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728326_8798,Say I Do,The Digital Invites Planner,wedding,commercial,I need to understand simple wedding invitations wording,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728372_8609,Say I Do,The Digital Invites Planner,wedding,commercial,Best guest wedding photos,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728401_9896,Say I Do,The Digital Invites Planner,wedding,informational,What makes how far in advance to mail wedding invitations different from other options,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728459_6876,Say I Do,The Digital Invites Planner,wedding,informational,Trying to learn about when to send wedding invites uk,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728499_6871,Say I Do,The Digital Invites Planner,wedding,commercial,rsvp invitation explained,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728531_9134,Say I Do,The Digital Invites Planner,wedding,commercial,What makes electronic invites with rsvp different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728583_1668,Say I Do,The Digital Invites Planner,wedding,commercial,Can someone explain online free wedding invitations,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728627_9198,Say I Do,The Digital Invites Planner,wedding,commercial,australia wedding explained,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728657_9122,Say I Do,The Digital Invites Planner,wedding,commercial,Trying to learn about best electronic invite,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728688_7916,Say I Do,The Digital Invites Planner,wedding,informational,Can someone explain how long in advance to send wedding invites,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728731_6108,Say I Do,The Digital Invites Planner,wedding,informational,Best how to word registry information on wedding invitation,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728776_7083,Say I Do,The Digital Invites Planner,wedding,commercial,Top wedding invites with rsvp online options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728828_5539,Say I Do,The Digital Invites Planner,wedding,informational,Top how to tell someone you can't go to their wedding last minute options,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728899_1256,Say I Do,The Digital Invites Planner,wedding,informational,Best when to send wedding invitations,7.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401728948_8298,Say I Do,The Digital Invites Planner,wedding,transactional,What makes order of the day ideas different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729000_5556,Say I Do,The Digital Invites Planner,wedding,commercial,What makes save the date wedding invitations online different from other options specifically for save the date cards,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729100_6444,Say I Do,The Digital Invites Planner,wedding,commercial,Looking for information on seating chart maker for wedding,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729147_2230,Say I Do,The Digital Invites Planner,wedding,commercial,wedding.invitation explained focused on photo wedding invitations,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729243_3070,Say I Do,The Digital Invites Planner,wedding,informational,I need to understand when should you send save the dates for a wedding focused on photo wedding invitations,7.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729384_5957,Say I Do,The Digital Invites Planner,wedding,commercial,Can someone explain best way to send wedding invitations,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729433_7588,Say I Do,The Digital Invites Planner,wedding,commercial,I need to understand things to organise for a wedding,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729496_9649,Say I Do,The Digital Invites Planner,wedding,navigational,Can someone explain event rsvp website,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729536_9454,Say I Do,The Digital Invites Planner,wedding,informational,Top when do you send save the dates for wedding options,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729569_8027,Say I Do,The Digital Invites Planner,wedding,commercial,I need to understand online party invitations with rsvp,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729619_5715,Say I Do,The Digital Invites Planner,wedding,commercial,wedding rsvp date calculator explained,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729656_1907,Say I Do,The Digital Invites Planner,wedding,commercial,I need to understand best online invitation maker,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729704_2010,Say I Do,The Digital Invites Planner,wedding,navigational,What makes wedding websites best different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729737_8801,Say I Do,The Digital Invites Planner,wedding,informational,Top when rsvp for wedding are due options,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729781_7474,Say I Do,The Digital Invites Planner,wedding,informational,What makes how to save money on a wedding venue different from other options,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729890_4835,Say I Do,The Digital Invites Planner,wedding,navigational,Top website for party rsvp options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401729933_7839,Say I Do,The Digital Invites Planner,wedding,commercial,Can someone explain wedding registry greeting,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730006_7491,Say I Do,The Digital Invites Planner,wedding,commercial,What makes best e invitation sites different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730043_9493,Say I Do,The Digital Invites Planner,wedding,transactional,Trying to learn about order for wedding reception,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730075_3853,Say I Do,The Digital Invites Planner,wedding,informational,when should a wedding rsvp be due explained,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730128_5180,Say I Do,The Digital Invites Planner,wedding,commercial,Looking for information on free invitations with rsvp,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730182_6807,Say I Do,The Digital Invites Planner,wedding,commercial,Can someone explain invitations for wedding wording,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730234_3963,Say I Do,The Digital Invites Planner,wedding,commercial,I need to understand ecard invitations,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730285_9170,Say I Do,The Digital Invites Planner,wedding,commercial,Best wedding to do list uk focused on save the date cards,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730340_1403,Say I Do,The Digital Invites Planner,wedding,commercial,wedding i do explained,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730358_1159,Say I Do,The Digital Invites Planner,wedding,commercial,Trying to learn about rsvp.,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730394_2788,Say I Do,The Digital Invites Planner,wedding,commercial,I need to understand create wedding invitation,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730440_9457,Say I Do,The Digital Invites Planner,wedding,commercial,What makes free online invitations with link different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730535_5197,Say I Do,The Digital Invites Planner,wedding,informational,What makes how far ahead should wedding invitations be sent different from other options,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730602_1920,Say I Do,The Digital Invites Planner,wedding,commercial,wedding packages templates explained,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730704_5696,Say I Do,The Digital Invites Planner,wedding,informational,What makes when to send save the dates for weddings different from other options,7.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730759_1285,Say I Do,The Digital Invites Planner,wedding,commercial,What makes free wedding cards different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730801_8155,Say I Do,The Digital Invites Planner,wedding,commercial,Can someone explain save the date with dog,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730857_4193,Say I Do,The Digital Invites Planner,wedding,commercial,Looking for information on where to have a wedding registry,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730941_9388,Say I Do,The Digital Invites Planner,wedding,informational,Best how to ask for cash for wedding,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401730982_6050,Say I Do,The Digital Invites Planner,wedding,commercial,I need to understand invitation qr code specifically for wedding invitation etiquette,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731057_1067,Say I Do,The Digital Invites Planner,wedding,commercial,the bay canada wedding registry guide specifically for save the date cards,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731106_5875,Say I Do,The Digital Invites Planner,wedding,commercial,Best qr code the knot,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731204_3093,Say I Do,The Digital Invites Planner,wedding,commercial,Top cash wedding registry wording options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731249_6346,Say I Do,The Digital Invites Planner,wedding,informational,Trying to learn about when do you send out save the dates specifically for save the date tips,7.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731328_9037,Say I Do,The Digital Invites Planner,wedding,commercial,wedding countdown explained focused on online invitation maker,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731387_1587,Say I Do,The Digital Invites Planner,wedding,informational,What makes how long to give rsvp for wedding uk different from other options,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731443_2254,Say I Do,The Digital Invites Planner,wedding,commercial,Trying to learn about wedding planned,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731489_1431,Say I Do,The Digital Invites Planner,wedding,navigational,What makes what are the best wedding websites different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731553_2896,Say I Do,The Digital Invites Planner,wedding,commercial,Can someone explain wedding page,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731591_7698,Say I Do,The Digital Invites Planner,wedding,commercial,modern save the date wedding recommendations,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731668_8774,Say I Do,The Digital Invites Planner,wedding,commercial,Looking for information on saves the date specifically for save the date tips,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731745_9700,Say I Do,The Digital Invites Planner,wedding,commercial,I need to understand save the date cards online,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731801_1505,Say I Do,The Digital Invites Planner,wedding,commercial,wedding gift site recommendations,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731842_5476,Say I Do,The Digital Invites Planner,wedding,commercial,I need to understand e wedding invite,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731887_6015,Say I Do,The Digital Invites Planner,wedding,commercial,Can someone explain friends wedding invitation,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731942_6484,Say I Do,The Digital Invites Planner,wedding,navigational,Looking for information on wedding planner website free,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401731982_4840,Say I Do,The Digital Invites Planner,wedding,informational,What makes how to do a digital invitation different from other options,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
