prompt_id,persona,category,intent_type,prompt_text,expected_visibility_score,notes,topic_cluster_id,cluster_role,cluster_topic,fanout_angle
tc_1775839515359_2189,Logistics / 3PL Decision Maker,business,commercial,Last-mile delivery in Canada services and solutions,5.0,Topic cluster: Last-mile delivery in Canada | Fan-out (specific_services),tc_logistics_decision_maker_Last-mile_delivery_in_Canada_1775839515,fanout,Last-mile delivery in Canada,specific_services
tc_1775839515359_4642,E-Commerce Merchant,educational,informational,What should I know about E-commerce shipping carriers Canada as a e-commerce merchant,5.0,Topic cluster: E-commerce shipping carriers Canada | Parent,tc_ecommerce_merchant_E-commerce_shipping_carriers_C_1775839515,parent,E-commerce shipping carriers Canada,
tc_1775839515359_8933,E-Commerce Merchant,educational,informational,how to get started with E-commerce shipping carriers Canada,5.0,Topic cluster: E-commerce shipping carriers Canada | Fan-out (how_to_practical),tc_ecommerce_merchant_E-commerce_shipping_carriers_C_1775839515,fanout,E-commerce shipping carriers Canada,how_to_practical
tc_1775839515359_5645,E-Commerce Merchant,educational,informational,advice from people experienced with E-commerce shipping carriers Canada,5.0,Topic cluster: E-commerce shipping carriers Canada | Fan-out (emotional_support),tc_ecommerce_merchant_E-commerce_shipping_carriers_C_1775839515,fanout,E-commerce shipping carriers Canada,emotional_support
tc_1775839515359_6691,E-Commerce Merchant,educational,informational,local E-commerce shipping carriers Canada options by region,5.0,Topic cluster: E-commerce shipping carriers Canada | Fan-out (geographic),tc_ecommerce_merchant_E-commerce_shipping_carriers_C_1775839515,fanout,E-commerce shipping carriers Canada,geographic
tc_1775839515359_9267,E-Commerce Merchant,educational,informational,who qualifies for E-commerce shipping carriers Canada,5.0,Topic cluster: E-commerce shipping carriers Canada | Fan-out (eligibility_access),tc_ecommerce_merchant_E-commerce_shipping_carriers_C_1775839515,fanout,E-commerce shipping carriers Canada,eligibility_access
tc_1775839515359_4728,E-Commerce Merchant,business,commercial,E-commerce shipping carriers Canada services and solutions,5.0,Topic cluster: E-commerce shipping carriers Canada | Fan-out (specific_services),tc_ecommerce_merchant_E-commerce_shipping_carriers_C_1775839515,fanout,E-commerce shipping carriers Canada,specific_services
tc_1775839515359_7470,Cross-Border Shipper,educational,informational,I need help with Cross-border shipping US to Canada — where do I start,5.0,Topic cluster: Cross-border shipping US to Canada | Parent,tc_cross_border_shipper_Cross-border_shipping_US_to_Ca_1775839515,parent,Cross-border shipping US to Canada,
tc_1775839515359_9604,Cross-Border Shipper,educational,informational,who qualifies for Cross-border shipping US to Canada,5.0,Topic cluster: Cross-border shipping US to Canada | Fan-out (eligibility_access),tc_cross_border_shipper_Cross-border_shipping_US_to_Ca_1775839515,fanout,Cross-border shipping US to Canada,eligibility_access
tc_1775839515359_3027,Cross-Border Shipper,educational,informational,Cross-border shipping US to Canada options in Canada,5.0,Topic cluster: Cross-border shipping US to Canada | Fan-out (geographic),tc_cross_border_shipper_Cross-border_shipping_US_to_Ca_1775839515,fanout,Cross-border shipping US to Canada,geographic
tc_1775839515359_6106,Cross-Border Shipper,educational,informational,step by step guide for Cross-border shipping US to Canada,5.0,Topic cluster: Cross-border shipping US to Canada | Fan-out (how_to_practical),tc_cross_border_shipper_Cross-border_shipping_US_to_Ca_1775839515,fanout,Cross-border shipping US to Canada,how_to_practical
tc_1775839515359_4013,Cross-Border Shipper,business,commercial,Cross-border shipping US to Canada services and solutions,5.0,Topic cluster: Cross-border shipping US to Canada | Fan-out (specific_services),tc_cross_border_shipper_Cross-border_shipping_US_to_Ca_1775839515,fanout,Cross-border shipping US to Canada,specific_services
tc_1775839515359_5132,Cross-Border Shipper,educational,informational,advice from people experienced with Cross-border shipping US to Canada,5.0,Topic cluster: Cross-border shipping US to Canada | Fan-out (emotional_support),tc_cross_border_shipper_Cross-border_shipping_US_to_Ca_1775839515,fanout,Cross-border shipping US to Canada,emotional_support
tc_1775839515359_8145,E-Commerce Merchant,educational,informational,What are my options for Cross-border shipping US to Canada as a e-commerce merchant,5.0,Topic cluster: Cross-border shipping US to Canada | Parent,tc_ecommerce_merchant_Cross-border_shipping_US_to_Ca_1775839515,parent,Cross-border shipping US to Canada,
tc_1775839515359_2749,E-Commerce Merchant,business,commercial,companies that offer Cross-border shipping US to Canada,5.0,Topic cluster: Cross-border shipping US to Canada | Fan-out (specific_services),tc_ecommerce_merchant_Cross-border_shipping_US_to_Ca_1775839515,fanout,Cross-border shipping US to Canada,specific_services
tc_1775839515359_3410,E-Commerce Merchant,educational,informational,Cross-border shipping US to Canada options in Canada,5.0,Topic cluster: Cross-border shipping US to Canada | Fan-out (geographic),tc_ecommerce_merchant_Cross-border_shipping_US_to_Ca_1775839515,fanout,Cross-border shipping US to Canada,geographic
tc_1775839515359_6095,E-Commerce Merchant,educational,informational,how to get started with Cross-border shipping US to Canada,5.0,Topic cluster: Cross-border shipping US to Canada | Fan-out (how_to_practical),tc_ecommerce_merchant_Cross-border_shipping_US_to_Ca_1775839515,fanout,Cross-border shipping US to Canada,how_to_practical
tc_1775839515359_5165,E-Commerce Merchant,educational,informational,advice from people experienced with Cross-border shipping US to Canada,5.0,Topic cluster: Cross-border shipping US to Canada | Fan-out (emotional_support),tc_ecommerce_merchant_Cross-border_shipping_US_to_Ca_1775839515,fanout,Cross-border shipping US to Canada,emotional_support
tc_1775839515359_3101,E-Commerce Merchant,educational,informational,who qualifies for Cross-border shipping US to Canada,5.0,Topic cluster: Cross-border shipping US to Canada | Fan-out (eligibility_access),tc_ecommerce_merchant_Cross-border_shipping_US_to_Ca_1775839515,fanout,Cross-border shipping US to Canada,eligibility_access
tc_1775839515359_2208,Online Shopper / Package Recipient,educational,informational,What are my options for Package tracking and delivery status as a online shopper / package recipient,5.0,Topic cluster: Package tracking and delivery status | Parent,tc_consumer_recipient_Package_tracking_and_delivery__1775839515,parent,Package tracking and delivery status,
tc_1775839515359_1531,Online Shopper / Package Recipient,business,commercial,Package tracking and delivery status services and solutions,5.0,Topic cluster: Package tracking and delivery status | Fan-out (specific_services),tc_consumer_recipient_Package_tracking_and_delivery__1775839515,fanout,Package tracking and delivery status,specific_services
tc_1775839515359_1355,Online Shopper / Package Recipient,educational,informational,local Package tracking and delivery status options by region,5.0,Topic cluster: Package tracking and delivery status | Fan-out (geographic),tc_consumer_recipient_Package_tracking_and_delivery__1775839515,fanout,Package tracking and delivery status,geographic
tc_1775839515359_1442,Online Shopper / Package Recipient,educational,informational,step by step guide for Package tracking and delivery status,5.0,Topic cluster: Package tracking and delivery status | Fan-out (how_to_practical),tc_consumer_recipient_Package_tracking_and_delivery__1775839515,fanout,Package tracking and delivery status,how_to_practical
tc_1775839515359_9067,Online Shopper / Package Recipient,educational,informational,how to access Package tracking and delivery status,5.0,Topic cluster: Package tracking and delivery status | Fan-out (eligibility_access),tc_consumer_recipient_Package_tracking_and_delivery__1775839515,fanout,Package tracking and delivery status,eligibility_access
tc_1775839515359_7729,Online Shopper / Package Recipient,educational,informational,community forums for Package tracking and delivery status,5.0,Topic cluster: Package tracking and delivery status | Fan-out (emotional_support),tc_consumer_recipient_Package_tracking_and_delivery__1775839515,fanout,Package tracking and delivery status,emotional_support
tc_1775839515359_7017,E-Commerce Merchant,educational,informational,I need help with Same-day and next-day delivery options — where do I start,5.0,Topic cluster: Same-day and next-day delivery options | Parent,tc_ecommerce_merchant_Same-day_and_next-day_delivery_1775839515,parent,Same-day and next-day delivery options,
tc_1775839515359_3309,E-Commerce Merchant,educational,informational,how to access Same-day and next-day delivery options,5.0,Topic cluster: Same-day and next-day delivery options | Fan-out (eligibility_access),tc_ecommerce_merchant_Same-day_and_next-day_delivery_1775839515,fanout,Same-day and next-day delivery options,eligibility_access
tc_1775839515359_4880,E-Commerce Merchant,business,commercial,Same-day and next-day delivery options services and solutions,5.0,Topic cluster: Same-day and next-day delivery options | Fan-out (specific_services),tc_ecommerce_merchant_Same-day_and_next-day_delivery_1775839515,fanout,Same-day and next-day delivery options,specific_services
tc_1775839515359_8642,E-Commerce Merchant,educational,informational,local Same-day and next-day delivery options options by region,5.0,Topic cluster: Same-day and next-day delivery options | Fan-out (geographic),tc_ecommerce_merchant_Same-day_and_next-day_delivery_1775839515,fanout,Same-day and next-day delivery options,geographic
tc_1775839515359_5281,E-Commerce Merchant,educational,informational,how to get started with Same-day and next-day delivery options,5.0,Topic cluster: Same-day and next-day delivery options | Fan-out (how_to_practical),tc_ecommerce_merchant_Same-day_and_next-day_delivery_1775839515,fanout,Same-day and next-day delivery options,how_to_practical
tc_1775839515359_2137,E-Commerce Merchant,educational,informational,advice from people experienced with Same-day and next-day delivery options,5.0,Topic cluster: Same-day and next-day delivery options | Fan-out (emotional_support),tc_ecommerce_merchant_Same-day_and_next-day_delivery_1775839515,fanout,Same-day and next-day delivery options,emotional_support
tc_1775839515359_5889,Logistics / 3PL Decision Maker,educational,informational,What should I know about Same-day and next-day delivery options as a logistics / 3pl decision maker,5.0,Topic cluster: Same-day and next-day delivery options | Parent,tc_logistics_decision_maker_Same-day_and_next-day_delivery_1775839515,parent,Same-day and next-day delivery options,
tc_1775839515359_2163,Logistics / 3PL Decision Maker,educational,informational,local Same-day and next-day delivery options options by region,5.0,Topic cluster: Same-day and next-day delivery options | Fan-out (geographic),tc_logistics_decision_maker_Same-day_and_next-day_delivery_1775839515,fanout,Same-day and next-day delivery options,geographic
tc_1775839515359_6147,Logistics / 3PL Decision Maker,educational,informational,advice from people experienced with Same-day and next-day delivery options,5.0,Topic cluster: Same-day and next-day delivery options | Fan-out (emotional_support),tc_logistics_decision_maker_Same-day_and_next-day_delivery_1775839515,fanout,Same-day and next-day delivery options,emotional_support
tc_1775839515359_2517,Logistics / 3PL Decision Maker,educational,informational,how to access Same-day and next-day delivery options,5.0,Topic cluster: Same-day and next-day delivery options | Fan-out (eligibility_access),tc_logistics_decision_maker_Same-day_and_next-day_delivery_1775839515,fanout,Same-day and next-day delivery options,eligibility_access
tc_1775839515359_9635,Logistics / 3PL Decision Maker,educational,informational,checklist for Same-day and next-day delivery options,5.0,Topic cluster: Same-day and next-day delivery options | Fan-out (how_to_practical),tc_logistics_decision_maker_Same-day_and_next-day_delivery_1775839515,fanout,Same-day and next-day delivery options,how_to_practical
tc_1775839515359_6457,Logistics / 3PL Decision Maker,business,commercial,companies that offer Same-day and next-day delivery options,5.0,Topic cluster: Same-day and next-day delivery options | Fan-out (specific_services),tc_logistics_decision_maker_Same-day_and_next-day_delivery_1775839515,fanout,Same-day and next-day delivery options,specific_services
tc_1775839515359_4537,Gig Driver / Delivery Partner,educational,informational,I'm looking for information about Delivery driver gig opportunities,5.0,Topic cluster: Delivery driver gig opportunities | Parent,tc_gig_driver_prospect_Delivery_driver_gig_opportunit_1775839515,parent,Delivery driver gig opportunities,
tc_1775839515359_6898,Gig Driver / Delivery Partner,educational,informational,Delivery driver gig opportunities options in Canada,5.0,Topic cluster: Delivery driver gig opportunities | Fan-out (geographic),tc_gig_driver_prospect_Delivery_driver_gig_opportunit_1775839515,fanout,Delivery driver gig opportunities,geographic
tc_1775839515359_6327,Gig Driver / Delivery Partner,educational,informational,who qualifies for Delivery driver gig opportunities,5.0,Topic cluster: Delivery driver gig opportunities | Fan-out (eligibility_access),tc_gig_driver_prospect_Delivery_driver_gig_opportunit_1775839515,fanout,Delivery driver gig opportunities,eligibility_access
tc_1775839515359_9518,Gig Driver / Delivery Partner,business,commercial,companies that offer Delivery driver gig opportunities,5.0,Topic cluster: Delivery driver gig opportunities | Fan-out (specific_services),tc_gig_driver_prospect_Delivery_driver_gig_opportunit_1775839515,fanout,Delivery driver gig opportunities,specific_services
tc_1775839515359_4301,Gig Driver / Delivery Partner,educational,informational,how to get started with Delivery driver gig opportunities,5.0,Topic cluster: Delivery driver gig opportunities | Fan-out (how_to_practical),tc_gig_driver_prospect_Delivery_driver_gig_opportunit_1775839515,fanout,Delivery driver gig opportunities,how_to_practical
tc_1775839515359_7693,Gig Driver / Delivery Partner,educational,informational,advice from people experienced with Delivery driver gig opportunities,5.0,Topic cluster: Delivery driver gig opportunities | Fan-out (emotional_support),tc_gig_driver_prospect_Delivery_driver_gig_opportunit_1775839515,fanout,Delivery driver gig opportunities,emotional_support
tc_1775839515359_4908,Logistics / 3PL Decision Maker,educational,informational,I'm looking for information about Crowdsourced delivery model,5.0,Topic cluster: Crowdsourced delivery model | Parent,tc_logistics_decision_maker_Crowdsourced_delivery_model_1775839515,parent,Crowdsourced delivery model,
tc_1775839515359_2377,Logistics / 3PL Decision Maker,educational,informational,who qualifies for Crowdsourced delivery model,5.0,Topic cluster: Crowdsourced delivery model | Fan-out (eligibility_access),tc_logistics_decision_maker_Crowdsourced_delivery_model_1775839515,fanout,Crowdsourced delivery model,eligibility_access
tc_1775839515359_7676,Logistics / 3PL Decision Maker,educational,informational,Crowdsourced delivery model providers near me,5.0,Topic cluster: Crowdsourced delivery model | Fan-out (geographic),tc_logistics_decision_maker_Crowdsourced_delivery_model_1775839515,fanout,Crowdsourced delivery model,geographic
tc_1775839515359_8709,Logistics / 3PL Decision Maker,business,commercial,Crowdsourced delivery model services and solutions,5.0,Topic cluster: Crowdsourced delivery model | Fan-out (specific_services),tc_logistics_decision_maker_Crowdsourced_delivery_model_1775839515,fanout,Crowdsourced delivery model,specific_services
tc_1775839515359_9496,Logistics / 3PL Decision Maker,educational,informational,advice from people experienced with Crowdsourced delivery model,5.0,Topic cluster: Crowdsourced delivery model | Fan-out (emotional_support),tc_logistics_decision_maker_Crowdsourced_delivery_model_1775839515,fanout,Crowdsourced delivery model,emotional_support
tc_1775839515359_5051,Logistics / 3PL Decision Maker,educational,informational,how to get started with Crowdsourced delivery model,5.0,Topic cluster: Crowdsourced delivery model | Fan-out (how_to_practical),tc_logistics_decision_maker_Crowdsourced_delivery_model_1775839515,fanout,Crowdsourced delivery model,how_to_practical
tc_1775839515359_7011,E-Commerce Merchant,educational,informational,I need help with Crowdsourced delivery model — where do I start,5.0,Topic cluster: Crowdsourced delivery model | Parent,tc_ecommerce_merchant_Crowdsourced_delivery_model_1775839515,parent,Crowdsourced delivery model,
tc_1775839515359_7575,E-Commerce Merchant,educational,informational,local Crowdsourced delivery model options by region,5.0,Topic cluster: Crowdsourced delivery model | Fan-out (geographic),tc_ecommerce_merchant_Crowdsourced_delivery_model_1775839515,fanout,Crowdsourced delivery model,geographic
tc_1775839515359_8839,E-Commerce Merchant,educational,informational,requirements for Crowdsourced delivery model,5.0,Topic cluster: Crowdsourced delivery model | Fan-out (eligibility_access),tc_ecommerce_merchant_Crowdsourced_delivery_model_1775839515,fanout,Crowdsourced delivery model,eligibility_access
tc_1775839515359_3350,E-Commerce Merchant,educational,informational,how to get started with Crowdsourced delivery model,5.0,Topic cluster: Crowdsourced delivery model | Fan-out (how_to_practical),tc_ecommerce_merchant_Crowdsourced_delivery_model_1775839515,fanout,Crowdsourced delivery model,how_to_practical
tc_1775839515359_9345,E-Commerce Merchant,educational,informational,community forums for Crowdsourced delivery model,5.0,Topic cluster: Crowdsourced delivery model | Fan-out (emotional_support),tc_ecommerce_merchant_Crowdsourced_delivery_model_1775839515,fanout,Crowdsourced delivery model,emotional_support
tc_1775839515359_2668,E-Commerce Merchant,business,commercial,companies that offer Crowdsourced delivery model,5.0,Topic cluster: Crowdsourced delivery model | Fan-out (specific_services),tc_ecommerce_merchant_Crowdsourced_delivery_model_1775839515,fanout,Crowdsourced delivery model,specific_services
tc_1775839515359_8523,E-Commerce Merchant,educational,informational,I'm looking for information about Alternatives to Canada Post,5.0,Topic cluster: Alternatives to Canada Post | Parent,tc_ecommerce_merchant_Alternatives_to_Canada_Post_1775839515,parent,Alternatives to Canada Post,
tc_1775839515359_4314,E-Commerce Merchant,educational,informational,how to access Alternatives to Canada Post,5.0,Topic cluster: Alternatives to Canada Post | Fan-out (eligibility_access),tc_ecommerce_merchant_Alternatives_to_Canada_Post_1775839515,fanout,Alternatives to Canada Post,eligibility_access
tc_1775839515359_6286,E-Commerce Merchant,educational,informational,common challenges with Alternatives to Canada Post,5.0,Topic cluster: Alternatives to Canada Post | Fan-out (emotional_support),tc_ecommerce_merchant_Alternatives_to_Canada_Post_1775839515,fanout,Alternatives to Canada Post,emotional_support
tc_1775839515359_1637,E-Commerce Merchant,educational,informational,Alternatives to Canada Post options in Canada,5.0,Topic cluster: Alternatives to Canada Post | Fan-out (geographic),tc_ecommerce_merchant_Alternatives_to_Canada_Post_1775839515,fanout,Alternatives to Canada Post,geographic
tc_1775839515359_1948,E-Commerce Merchant,business,commercial,best providers for Alternatives to Canada Post,5.0,Topic cluster: Alternatives to Canada Post | Fan-out (specific_services),tc_ecommerce_merchant_Alternatives_to_Canada_Post_1775839515,fanout,Alternatives to Canada Post,specific_services
tc_1775839515359_2553,E-Commerce Merchant,educational,informational,how to get started with Alternatives to Canada Post,5.0,Topic cluster: Alternatives to Canada Post | Fan-out (how_to_practical),tc_ecommerce_merchant_Alternatives_to_Canada_Post_1775839515,fanout,Alternatives to Canada Post,how_to_practical
tc_1775839515359_7571,Logistics / 3PL Decision Maker,educational,informational,Can you help me understand Alternatives to Canada Post,5.0,Topic cluster: Alternatives to Canada Post | Parent,tc_logistics_decision_maker_Alternatives_to_Canada_Post_1775839515,parent,Alternatives to Canada Post,
tc_1775839515359_9096,Logistics / 3PL Decision Maker,educational,informational,Alternatives to Canada Post options in Canada,5.0,Topic cluster: Alternatives to Canada Post | Fan-out (geographic),tc_logistics_decision_maker_Alternatives_to_Canada_Post_1775839515,fanout,Alternatives to Canada Post,geographic
tc_1775839515359_7004,Logistics / 3PL Decision Maker,business,commercial,Alternatives to Canada Post services and solutions,5.0,Topic cluster: Alternatives to Canada Post | Fan-out (specific_services),tc_logistics_decision_maker_Alternatives_to_Canada_Post_1775839515,fanout,Alternatives to Canada Post,specific_services
tc_1775839515359_1907,Logistics / 3PL Decision Maker,educational,informational,checklist for Alternatives to Canada Post,5.0,Topic cluster: Alternatives to Canada Post | Fan-out (how_to_practical),tc_logistics_decision_maker_Alternatives_to_Canada_Post_1775839515,fanout,Alternatives to Canada Post,how_to_practical
tc_1775839515359_4634,Logistics / 3PL Decision Maker,educational,informational,community forums for Alternatives to Canada Post,5.0,Topic cluster: Alternatives to Canada Post | Fan-out (emotional_support),tc_logistics_decision_maker_Alternatives_to_Canada_Post_1775839515,fanout,Alternatives to Canada Post,emotional_support
tc_1775839515359_2430,Logistics / 3PL Decision Maker,educational,informational,requirements for Alternatives to Canada Post,5.0,Topic cluster: Alternatives to Canada Post | Fan-out (eligibility_access),tc_logistics_decision_maker_Alternatives_to_Canada_Post_1775839515,fanout,Alternatives to Canada Post,eligibility_access
tc_1775839515359_9738,Online Shopper / Package Recipient,educational,informational,What should I know about Delivery company reviews and complaints as a online shopper / package recipient,5.0,Topic cluster: Delivery company reviews and complaints | Parent,tc_consumer_recipient_Delivery_company_reviews_and_c_1775839515,parent,Delivery company reviews and complaints,
tc_1775839515359_7915,Online Shopper / Package Recipient,educational,informational,common challenges with Delivery company reviews and complaints,5.0,Topic cluster: Delivery company reviews and complaints | Fan-out (emotional_support),tc_consumer_recipient_Delivery_company_reviews_and_c_1775839515,fanout,Delivery company reviews and complaints,emotional_support
tc_1775839515359_5117,Online Shopper / Package Recipient,business,commercial,best providers for Delivery company reviews and complaints,5.0,Topic cluster: Delivery company reviews and complaints | Fan-out (specific_services),tc_consumer_recipient_Delivery_company_reviews_and_c_1775839515,fanout,Delivery company reviews and complaints,specific_services
tc_1775839515359_9405,Online Shopper / Package Recipient,educational,informational,how to access Delivery company reviews and complaints,5.0,Topic cluster: Delivery company reviews and complaints | Fan-out (eligibility_access),tc_consumer_recipient_Delivery_company_reviews_and_c_1775839515,fanout,Delivery company reviews and complaints,eligibility_access
tc_1775839515359_4607,Online Shopper / Package Recipient,educational,informational,Delivery company reviews and complaints options in Canada,5.0,Topic cluster: Delivery company reviews and complaints | Fan-out (geographic),tc_consumer_recipient_Delivery_company_reviews_and_c_1775839515,fanout,Delivery company reviews and complaints,geographic
tc_1775839515359_6469,Online Shopper / Package Recipient,educational,informational,checklist for Delivery company reviews and complaints,5.0,Topic cluster: Delivery company reviews and complaints | Fan-out (how_to_practical),tc_consumer_recipient_Delivery_company_reviews_and_c_1775839515,fanout,Delivery company reviews and complaints,how_to_practical
tc_1775839515359_1878,Logistics / 3PL Decision Maker,educational,informational,I'm looking for information about 3PL and fulfillment partnerships,5.0,Topic cluster: 3PL and fulfillment partnerships | Parent,tc_logistics_decision_maker_3PL_and_fulfillment_partnershi_1775839515,parent,3PL and fulfillment partnerships,
tc_1775839515359_1726,Logistics / 3PL Decision Maker,business,commercial,best providers for 3PL and fulfillment partnerships,5.0,Topic cluster: 3PL and fulfillment partnerships | Fan-out (specific_services),tc_logistics_decision_maker_3PL_and_fulfillment_partnershi_1775839515,fanout,3PL and fulfillment partnerships,specific_services
tc_1775839515359_2664,Logistics / 3PL Decision Maker,educational,informational,advice from people experienced with 3PL and fulfillment partnerships,5.0,Topic cluster: 3PL and fulfillment partnerships | Fan-out (emotional_support),tc_logistics_decision_maker_3PL_and_fulfillment_partnershi_1775839515,fanout,3PL and fulfillment partnerships,emotional_support
tc_1775839515359_7816,Logistics / 3PL Decision Maker,educational,informational,how to get started with 3PL and fulfillment partnerships,5.0,Topic cluster: 3PL and fulfillment partnerships | Fan-out (how_to_practical),tc_logistics_decision_maker_3PL_and_fulfillment_partnershi_1775839515,fanout,3PL and fulfillment partnerships,how_to_practical
tc_1775839515359_5928,Logistics / 3PL Decision Maker,educational,informational,local 3PL and fulfillment partnerships options by region,5.0,Topic cluster: 3PL and fulfillment partnerships | Fan-out (geographic),tc_logistics_decision_maker_3PL_and_fulfillment_partnershi_1775839515,fanout,3PL and fulfillment partnerships,geographic
tc_1775839515359_9195,Logistics / 3PL Decision Maker,educational,informational,who qualifies for 3PL and fulfillment partnerships,5.0,Topic cluster: 3PL and fulfillment partnerships | Fan-out (eligibility_access),tc_logistics_decision_maker_3PL_and_fulfillment_partnershi_1775839515,fanout,3PL and fulfillment partnerships,eligibility_access
gen_1775839515359_7679,E-Commerce Merchant,educational,informational,Looking for how long does a package stay in customs that's actually good quality,7.5,Generated from keyword: how long does a package stay in customs,,,,
gen_1775839515359_5396,E-Commerce Merchant,educational,informational,Can you help me understand the options for ali express shipping,7.5,Generated from keyword: ali express shipping,,,,
gen_1775839515359_2505,E-Commerce Merchant,educational,informational,What do I need to know about enveyo,7.5,Generated from keyword: enveyo,,,,
gen_1775839515359_5002,E-Commerce Merchant,educational,informational,I'd like to learn about different how late do fedex drivers deliver options,6.5,Generated from keyword: how late do fedex drivers deliver,,,,
gen_1775839515360_9359,E-Commerce Merchant,educational,informational,I'm researching heur de new york — what should I know before buying,7.5,Generated from keyword: heur de new york,,,,
gen_1775839515360_7897,E-Commerce Merchant,educational,informational,I'm researching shein customer service number — what should I know before buying,9.0,Generated from keyword: shein customer service number,,,,
gen_1775839515360_8923,E-Commerce Merchant,educational,informational,Tell me about the best unti-unti in english available,7.5,Generated from keyword: unti-unti in english,,,,
gen_1775839515361_2116,E-Commerce Merchant,educational,informational,Tell me about the best does mail deliver on sundays available,7.5,Generated from keyword: does mail deliver on sundays,,,,
gen_1775839515361_1183,E-Commerce Merchant,educational,informational,What do I need to know about uniexpress,6.0,Generated from keyword: uniexpress,,,,
gen_1775839515361_3533,E-Commerce Merchant,educational,informational,Tell me about the best shein tracking available,8.5,Generated from keyword: shein tracking,,,,
gen_1775839515362_9352,E-Commerce Merchant,educational,informational,What makes a good cainiao tracking,7.5,Generated from keyword: cainiao tracking,,,,
gen_1775839515362_9665,E-Commerce Merchant,business,commercial,I'm looking to buy umini — what do you recommend,6.0,Generated from keyword: umini,,,,
gen_1775839515363_8272,E-Commerce Merchant,educational,informational,What should I look for when buying my shein orders,7.5,Generated from keyword: my shein orders,,,,
gen_1775839515363_1628,E-Commerce Merchant,educational,informational,What makes a good canada to us shipping,7.0,Generated from keyword: canada to us shipping,,,,
gen_1775839515364_1005,E-Commerce Merchant,business,commercial,What's the best temu toll for the money,8.0,Generated from keyword: temu toll,,,,
gen_1775839515365_1350,E-Commerce Merchant,educational,informational,What does UniUni sell,9.0,Generated from keyword: uniuni delivery,,,,
gen_1775839515365_3745,E-Commerce Merchant,educational,informational,I'm researching ups tracker canada — what should I know before buying,7.0,Generated from keyword: ups tracker canada,,,,
gen_1775839515366_2422,E-Commerce Merchant,educational,informational,Tell me about the best aliexpress shipping tracking available,7.5,Generated from keyword: aliexpress shipping tracking,,,,
